zip,city,state,lat,lon,pop,sqmi,denspersqmi,med_income,avg_income,subways
1473,Westminster,MA,42.5546,-71.90544,7277,35.433,205.3735219,79073,86554,1
1474,West Townsend,MA,42.669685,-71.752751,2125,9.919,214.235306,78207,84939,0
1475,Winchendon,MA,42.66816,-72.055644,10270,42.852,239.6620928,56274,66418,1
1501,Auburn,MA,42.198708,-71.846006,16075,15.457,1039.981885,70683,81298,2
1503,Berlin,MA,42.384929,-71.633889,2866,12.972,220.9374036,92917,109928,1
1504,Blackstone,MA,42.039991,-71.532406,9026,11.075,814.9887133,74067,80879,1
1505,Boylston,MA,42.355049,-71.716157,4355,16.061,271.1537264,88214,128553,0
1506,Brookfield,MA,42.180788,-72.107891,3390,15.546,218.0625241,60189,69508,0
1507,Charlton,MA,42.133935,-71.968025,12981,42.183,307.7306024,86561,92648,0
1510,Clinton,MA,42.411887,-71.690005,13606,5.655,2406.012378,57957,69165,2
1515,East Brookfield,MA,42.209682,-72.040178,2183,9.853,221.5568862,71964,82820,0
1516,Douglas,MA,42.053072,-71.752241,8500,36.754,231.2673451,86214,92231,0
1518,Fiskdale,MA,42.127477,-72.118818,2974,8.871,335.24969,72983,87918,1
1519,Grafton,MA,42.203404,-71.679739,6595,10.912,604.3804985,105605,119127,0
1520,Holden,MA,42.336372,-71.850626,13997,18.081,774.1275372,92166,103496,1
1521,Holland,MA,42.046799,-72.180144,2481,12.294,201.8057589,65917,76367,0
1522,Jefferson,MA,42.375634,-71.867382,3310,16.378,202.1003786,82165,97639,0
1523,Lancaster,MA,42.483569,-71.675585,7582,25.188,301.016357,80938,104486,0
1524,Leicester,MA,42.249603,-71.919217,6696,15.975,419.1549296,74316,85319,2
1525,Linwood,MA,42.106794,-71.630518,290,0.449,645.8797327,89583,96920,0
1527,Millbury,MA,42.192246,-71.777649,13246,15.569,850.793243,68319,76894,1
1529,Millville,MA,42.036642,-71.578779,3190,4.906,650.2242152,77250,89180,0
1531,New Braintree,MA,42.319125,-72.130814,999,20.789,48.05425946,61250,76417,0
1532,Northborough,MA,42.323342,-71.646236,14155,18.476,766.1290323,103271,125633,1
1534,Northbridge,MA,42.142074,-71.643348,5631,8.758,642.9550126,76675,88046,0
